OBJID,filename,filepath,pred_class_idx,pred_label,confidence
587732484894621824,587732484894621824_ra175.470100_dec50.762000.jpg,unknown_sdss_cutouts\587732484894621824_ra175.470100_dec50.762000.jpg,0,ELLIPTICAL,0.9662078619003296
587732484894621824,587732484894621824_ra175.471300_dec50.762110.jpg,unknown_sdss_cutouts\587732484894621824_ra175.471300_dec50.762110.jpg,0,ELLIPTICAL,0.9874729514122009
587732484896129152,587732484896129152_ra181.010400_dec51.076780.jpg,unknown_sdss_cutouts\587732484896129152_ra181.010400_dec51.076780.jpg,0,ELLIPTICAL,0.9738423228263855
587732484897832960,587732484897832960_ra187.253800_dec51.089530.jpg,unknown_sdss_cutouts\587732484897832960_ra187.253800_dec51.089530.jpg,0,ELLIPTICAL,0.8598278760910034
587732484899078272,587732484899078272_ra191.837000_dec50.920580.jpg,unknown_sdss_cutouts\587732484899078272_ra191.837000_dec50.920580.jpg,0,ELLIPTICAL,0.8674978613853455
587732484899143808,587732484899143808_ra191.955700_dec51.029750.jpg,unknown_sdss_cutouts\587732484899143808_ra191.955700_dec51.029750.jpg,1,SPIRAL,0.9857978820800781
587732484899143808,587732484899143808_ra191.959200_dec51.027970.jpg,unknown_sdss_cutouts\587732484899143808_ra191.959200_dec51.027970.jpg,1,SPIRAL,0.9924465417861938
587732484899602560,587732484899602560_ra193.676500_dec50.781140.jpg,unknown_sdss_cutouts\587732484899602560_ra193.676500_dec50.781140.jpg,0,ELLIPTICAL,0.9296074509620667
587732484899995904,587732484899995904_ra195.126400_dec50.733890.jpg,unknown_sdss_cutouts\587732484899995904_ra195.126400_dec50.733890.jpg,0,ELLIPTICAL,0.8742045760154724
587732484905632000,587732484905632000_ra214.091200_dec47.330170.jpg,unknown_sdss_cutouts\587732484905632000_ra214.091200_dec47.330170.jpg,1,SPIRAL,0.982545793056488
587732576700399744,587732576700399744_ra162.823900_dec5.808889.jpg,unknown_sdss_cutouts\587732576700399744_ra162.823900_dec5.808889.jpg,0,ELLIPTICAL,0.667889416217804
587732576700596352,587732576700596352_ra163.335500_dec5.841639.jpg,unknown_sdss_cutouts\587732576700596352_ra163.335500_dec5.841639.jpg,1,SPIRAL,0.8486518859863281
587732576700661888,587732576700661888_ra163.450200_dec5.913278.jpg,unknown_sdss_cutouts\587732576700661888_ra163.450200_dec5.913278.jpg,1,SPIRAL,0.979089617729187
587732576702103680,587732576702103680_ra166.718900_dec6.031944.jpg,unknown_sdss_cutouts\587732576702103680_ra166.718900_dec6.031944.jpg,1,SPIRAL,0.5185548663139343
587732577223836160,587732577223836160_ra132.177800_dec3.806222.jpg,unknown_sdss_cutouts\587732577223836160_ra132.177800_dec3.806222.jpg,0,ELLIPTICAL,0.7997081279754639
587732577228030208,587732577228030208_ra141.671300_dec4.790222.jpg,unknown_sdss_cutouts\587732577228030208_ra141.671300_dec4.790222.jpg,1,SPIRAL,0.5055474042892456
587732577233338368,587732577233338368_ra153.772200_dec5.675889.jpg,unknown_sdss_cutouts\587732577233338368_ra153.772200_dec5.675889.jpg,1,SPIRAL,0.5102983713150024
587732577234649088,587732577234649088_ra156.838300_dec5.784555.jpg,unknown_sdss_cutouts\587732577234649088_ra156.838300_dec5.784555.jpg,1,SPIRAL,0.977493405342102
587732577234649088,587732577234649088_ra156.838600_dec5.784778.jpg,unknown_sdss_cutouts\587732577234649088_ra156.838600_dec5.784778.jpg,1,SPIRAL,0.9387975335121155
587732577234649216,587732577234649216_ra156.860400_dec5.846722.jpg,unknown_sdss_cutouts\587732577234649216_ra156.860400_dec5.846722.jpg,1,SPIRAL,0.999191164970398
587732577235042432,587732577235042432_ra157.733900_dec5.931389.jpg,unknown_sdss_cutouts\587732577235042432_ra157.733900_dec5.931389.jpg,1,SPIRAL,0.9991670250892639
587732577236287616,587732577236287616_ra160.502600_dec6.183195.jpg,unknown_sdss_cutouts\587732577236287616_ra160.502600_dec6.183195.jpg,1,SPIRAL,0.7736312747001648
587732577236287616,587732577236287616_ra160.578700_dec6.203861.jpg,unknown_sdss_cutouts\587732577236287616_ra160.578700_dec6.203861.jpg,1,SPIRAL,0.9998500943183899
587732577236287616,587732577236287616_ra160.581000_dec6.201194.jpg,unknown_sdss_cutouts\587732577236287616_ra160.581000_dec6.201194.jpg,1,SPIRAL,0.9999651908874512
587732577238712448,587732577238712448_ra166.153600_dec6.395028.jpg,unknown_sdss_cutouts\587732577238712448_ra166.153600_dec6.395028.jpg,1,SPIRAL,0.9998047947883606
587732577757102208,587732577757102208_ra123.833000_dec3.252694.jpg,unknown_sdss_cutouts\587732577757102208_ra123.833000_dec3.252694.jpg,0,ELLIPTICAL,0.8337624669075012
587732577757299200,587732577757299200_ra124.282700_dec3.364556.jpg,unknown_sdss_cutouts\587732577757299200_ra124.282700_dec3.364556.jpg,0,ELLIPTICAL,0.7692006230354309
587732577758806400,587732577758806400_ra127.754900_dec3.698806.jpg,unknown_sdss_cutouts\587732577758806400_ra127.754900_dec3.698806.jpg,1,SPIRAL,0.817428708076477
587732577759461760,587732577759461760_ra129.197200_dec3.892250.jpg,unknown_sdss_cutouts\587732577759461760_ra129.197200_dec3.892250.jpg,1,SPIRAL,0.9922546744346619
587732577760838144,587732577760838144_ra132.436500_dec4.356306.jpg,unknown_sdss_cutouts\587732577760838144_ra132.436500_dec4.356306.jpg,1,SPIRAL,0.9223514795303345
587732577763590272,587732577763590272_ra138.580200_dec4.887084.jpg,unknown_sdss_cutouts\587732577763590272_ra138.580200_dec4.887084.jpg,1,SPIRAL,0.7714577913284302
587732577764638976,587732577764638976_ra141.110900_dec5.171722.jpg,unknown_sdss_cutouts\587732577764638976_ra141.110900_dec5.171722.jpg,0,ELLIPTICAL,0.8534114956855774
587732577767784576,587732577767784576_ra148.239000_dec5.642694.jpg,unknown_sdss_cutouts\587732577767784576_ra148.239000_dec5.642694.jpg,0,ELLIPTICAL,0.7863318920135498
587732577768243200,587732577768243200_ra149.244200_dec5.814055.jpg,unknown_sdss_cutouts\587732577768243200_ra149.244200_dec5.814055.jpg,1,SPIRAL,0.9888148903846741
587732577768898944,587732577768898944_ra150.759200_dec5.870584.jpg,unknown_sdss_cutouts\587732577768898944_ra150.759200_dec5.870584.jpg,1,SPIRAL,0.9967597126960754
587732577769947264,587732577769947264_ra153.243000_dec6.176833.jpg,unknown_sdss_cutouts\587732577769947264_ra153.243000_dec6.176833.jpg,1,SPIRAL,0.9997351765632629
587732578025013888,587732578025013888_ra122.655400_dec3.094445.jpg,unknown_sdss_cutouts\587732578025013888_ra122.655400_dec3.094445.jpg,1,SPIRAL,0.9819637537002563
